Job_Title,Company_Name,Time,Company_Location,Job_Skills
Senior Data Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,Full Time,"Smart Village, Giza, Egypt",Experienced · Business Development · Analyst/Research · Analysis · analyticalAnalyst · Business Intelligence · businessDataData Analysis · Information Technology (IT)
Data Analyst,Confidential -,Full Time,"Heliopolis, Cairo, Egypt",Experienced · Business Development · Analyst/Research · analyticalAnalystDataData Analyst
Data Analyst,Othaim -,Full Time,"Katameya, Cairo, Egypt",Experienced · IT/Software Development · Analyst/Research · Computer Science · Information Technology (IT)Data AnalysisAnalyst
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,Full Time,"Zamalek, Cairo, Egypt",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer ScienceData · analytical · Information Technology (IT) · Reporting
Data Analyst,Hands of Hope Physical Therapy & Wellness -,Full Time,"Maadi, Cairo, Egypt",Experienced · R&D/Science · IT/Software Development · Analyst/Research · AnalysisAnalystDataData AnalysisData Analyst · Information Technology (IT) · Tableau
ERPNext Specialist/Data Analyst,Confidential -,Full Time,"Alexandria, Egypt",Experienced · IT/Software Development · Business Intelligence · BIData AnalystData Mining · Power BIData Analysis · ERPNext · ERP Implementation · Technical Support
Data Analyst,Natcom -,Full Time,"Cairo, Egypt",Experienced · Sales/Retail · Sales · Retail · Retail Sales · Retail Business
Data Analyst,Nugttah -,Full Time,"Cairo, Egypt",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT)Data AnalysisData visualizationData
Senior Business Analyst,Guardian towing -,Full Time,"Cairo, Egypt",Manager · Business Development · Project/Program Management · Analyst/Research · python · Power BI · Forcasting · Business DevelopmentFinancial Data Analysis · Process Improvement · Microsoft Excel
Software Business Analyst,WSC -,Full Time,"Dokki, Giza, Egypt",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer ScienceData · Software · Communication skills · IT
Market Research Analyst,Gap Polymers  -,Full Time,"Maadi, Cairo, Egypt",Experienced · Marketing/PR/Advertising · Analyst/Research · E-MarketingData Collection · Market Research · Marketing · Research · Statistics · Economics · online survey
Financial Analyst - Innoventures,Cultiv -,Full Time,"Heliopolis, Cairo, Egypt",Experienced · Accounting/Finance · Analyst/Research · Financial Analysis · Finance · Accounting · Analysis · Financial · Economics · Excel · Computer Skills
Business analyst,Dawi Clinics -,Full Time,"Maadi, Cairo, Egypt",Experienced · IT/Software Development · Analyst/Research · Analysis · Business AnalysisData · Information Technology (IT) · Information technology · Power BI · BI · Technical Writing
Data Analyst (On-Site),Union Coop -,Full Time,"Dokki, Giza, Egypt",Experienced · IT/Software Development · Analyst/Research · Computer Science · Power BI · SSIS · SSRS · SSASData Warehouse · Information Technology (IT) · ETL
Senior Sales Analyst (Power BI),Alarabia Group -,Full Time,"10th of Ramadan City, Cairo, Egypt",Experienced · IT/Software Development · Analyst/Research · Sales/Retail · Computer Science · Customer Service · Design · Development · Experience · Management · Sales
